lic_type,Year,"Expired Licenses"
"APPRENTICE ELECTRICIAN",2005,8
"ELECTRICAL CONTRACTOR",2005,3
"JOURNEYMAN ELECTRICIAN",2005,92
"MASTER ELECTRICIAN",2005,16
"RESIDENTIAL WIREMAN",2005,8
"APPRENTICE ELECTRICIAN",2006,23
"ELECTRICAL CONTRACTOR",2006,7
"JOURNEYMAN ELECTRICIAN",2006,79
"MASTER ELECTRICIAN",2006,10
"RESIDENTIAL WIREMAN",2006,9
"APPRENTICE ELECTRICIAN",2007,18
"ELECTRICAL CONTRACTOR",2007,5
"JOURNEYMAN ELECTRICIAN",2007,82
"MASTER ELECTRICIAN",2007,3
"RESIDENTIAL WIREMAN",2007,15
"APPRENTICE ELECTRICIAN",2008,21
"ELECTRICAL CONTRACTOR",2008,2
"JOURNEYMAN ELECTRICIAN",2008,36
"MASTER ELECTRICIAN",2008,11
"RESIDENTIAL WIREMAN",2008,8
"APPRENTICE ELECTRICIAN",2009,32
"ELECTRICAL CONTRACTOR",2009,7
"JOURNEYMAN ELECTRICIAN",2009,32
"MASTER ELECTRICIAN",2009,9
"RESIDENTIAL WIREMAN",2009,10
"APPRENTICE ELECTRICIAN",2010,350
"ELECTRICAL CONTRACTOR",2010,7
"JOURNEYMAN ELECTRICIAN",2010,29
"MASTER ELECTRICIAN",2010,6
"RESIDENTIAL WIREMAN",2010,1
"APPRENTICE ELECTRICIAN",2011,662
"ELECTRICAL CONTRACTOR",2011,5
"JOURNEYMAN ELECTRICIAN",2011,37
"MASTER ELECTRICIAN",2011,4
"RESIDENTIAL WIREMAN",2011,2
"APPRENTICE ELECTRICIAN",2012,353
"ELECTRICAL CONTRACTOR",2012,5
"JOURNEYMAN ELECTRICIAN",2012,22
"MASTER ELECTRICIAN",2012,6
"RESIDENTIAL WIREMAN",2012,2
"APPRENTICE ELECTRICIAN",2013,15
"ELECTRICAL CONTRACTOR",2013,6
"MASTER ELECTRICIAN",2013,6
"APPRENTICE ELECTRICIAN",2014,319
"JOURNEYMAN ELECTRICIAN",2014,24
"RESIDENTIAL WIREMAN",2014,2
"APPRENTICE ELECTRICIAN",2015,421
"JOURNEYMAN ELECTRICIAN",2015,32
"MASTER ELECTRICIAN",2015,3
"RESIDENTIAL WIREMAN",2015,3
"APPRENTICE ELECTRICIAN",2016,679
"JOURNEYMAN ELECTRICIAN",2016,23
"MASTER ELECTRICIAN",2016,7
"RESIDENTIAL WIREMAN",2016,6
"APPRENTICE ELECTRICIAN",2017,772
"JOURNEYMAN ELECTRICIAN",2017,27
"MASTER ELECTRICIAN",2017,2
"RESIDENTIAL WIREMAN",2017,1
"APPRENTICE ELECTRICIAN",2018,423
"JOURNEYMAN ELECTRICIAN",2018,6
"MASTER ELECTRICIAN",2018,2
"RESIDENTIAL WIREMAN",2018,1
"APPRENTICE ELECTRICIAN",2019,583
"JOURNEYMAN ELECTRICIAN",2019,20
"MASTER ELECTRICIAN",2019,3
"RESIDENTIAL WIREMAN",2019,1
"APPRENTICE ELECTRICIAN",2020,508
"JOURNEYMAN ELECTRICIAN",2020,26
"MASTER ELECTRICIAN",2020,1
"RESIDENTIAL WIREMAN",2020,1
"APPRENTICE ELECTRICIAN",2021,26863
"ELECTRICAL CONTRACTOR",2021,521
"JOURNEYMAN ELECTRICIAN",2021,1650
"MASTER ELECTRICIAN",2021,429
"RESIDENTIAL WIREMAN",2021,157
"APPRENTICE ELECTRICIAN",2022,34318
"ELECTRICAL CONTRACTOR",2022,790
"JOURNEYMAN ELECTRICIAN",2022,3439
"MASTER ELECTRICIAN",2022,819
"RESIDENTIAL WIREMAN",2022,267
